"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Order Management","2","Repository Persistence","5","1","Persist and count orders","0"
"0","Order Management","0","Repository Persistence","1","0","Order creation with custom price","0"
"0","Order Management","1","Repository Persistence","0","0","Persist custom order data","0"
"0","Order Management","0","Repository Persistence","1","0","Count stored orders","0"
"0","Order Management","0","Repository Persistence","1","0","Create and persist an order","0"
"1","Order Management","0","Repository Persistence","0","0","Intentional broken state","0"
"0","Order Management","0","Repository Persistence","0","1","Temporary skipped validation","0"
"0","Order Management","0","Repository Persistence","1","0","Create multiple orders","0"
"0","Order Management","0","Repository Persistence","1","0","Order count edge case","0"
"0","","0","","1","0","","0"
"0","Order Management","1","Repository Persistence","0","0","Intentional failure","0"
