"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","should create an order with a custom price","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","customPriceOrderScenario"
"","40","should persist an order with custom attributes","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrderWithCustomAttributes"
"","30","should count persisted orders","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"","29","should persist an order with default values","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
"","21","should break for dashboard broken category visibility","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","brokenForDashboardVisibility"
"","16","should be skipped for dashboard status visibility","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","skippedForDashboardVisibility"
"","41","should persist and count multiple orders","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsMultipleOrders"
"","29","should handle an extra order count scenario","","2026-07-11","passed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","edgeCaseCountScenario"
"","78","shouldUseContainerCredentialsAndApplyMigrations()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.support.PostgresFlywayInfrastructureTest","com.ust.sdet.support.PostgresFlywayInfrastructureTest","shouldUseContainerCredentialsAndApplyMigrations"
"","20","should fail for dashboard failure category visibility","","2026-07-11","failed","2026-07-11","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","failedForDashboardVisibility"
